id,short_name,name,category,health_or_development_domain,mechanism,target_population,delivery_channel,geography,givewell_status,givewell_review_updated,in_answer_pool,description,givewell_view,why_it_works
facility-mnh,Facility birth care,Facility-based maternal and neonatal health interventions,Maternal & child,Maternal health,Health worker training,Women giving birth,Health facility,,Further work planned,July 2022,True,Training for health workers to deliver a package of care during and after birth in health facilities.,"GiveWell finds it promising but is highly uncertain about specific programs, so it may attach an evaluation to any grant.",Many deaths happen around birth. Better-trained staff at that moment can act on complications fast.
azithro-mda,Azithromycin for all kids,Mass distribution of azithromycin to reduce child mortality,Maternal & child,Child survival,Mass drug administration,Children under 5,Mass campaign,,Research ongoing,December 2019,True,"An antibiotic given to all children in an age range, once or twice a year.","GiveWell's review found it may be cost-effective enough, but it is studying implementation and the risk of antibiotic resistance.","A mass dose clears many common infections at once, including ones that are not yet diagnosed."
probiotics-preterm,Probiotics for preterm babies,Probiotic supplementation for preterm newborns,Maternal & child,Newborn health,Supplementation,Low-birthweight or preterm newborns,Health facility,,Further work planned,December 2019,False,Probiotic supplements for small or preterm newborns to prevent necrotizing enterocolitis and sepsis.,GiveWell finds it promising and wants to learn about implementation opportunities.,
sayana-press,Self-injectable contraceptive,Sayana® Press,Maternal & child,Family planning,Commodity supply,Women of reproductive age,Community health workers,,Further work planned,February 2017,False,An injectable contraceptive in a prefilled single-use device that community health workers or women themselves can give.,GiveWell finds it promising and plans more research.,
tup,Graduation (ultra-poor),Targeting the Ultra Poor,Livelihoods,Income & assets,Asset + coaching bundle,Ultra-poor households,NGO field staff,,Further work planned,August 2024,True,"Productive assets such as livestock for very poor households, with mentoring, training, and other support.",GiveWell continues to look for programs of this type that are cost-effective and need funding.,Very poor households often face several constraints at once. The bundle tries to relax all of them together.
sugar-baits,Toxic sugar baits,Attractive toxic sugar baits for malaria control,Infectious disease,Malaria,Vector control,Whole community,Environmental works,,Waiting for new evidence,November 2020,False,"Sugar mixed with a substance lethal to mosquitoes, used to reduce mosquito populations.",Deprioritized for lack of evidence; GiveWell expects new evidence.,
living-goods,Health promoters,Community health promoters as run by Living Goods,Maternal & child,Child survival,Community health workers,Whole household,Door-to-door,,Waiting for new evidence,November 2014,True,Promoters who sell health and household goods door to door and give basic health advice.,GiveWell will revisit when results of a larger-scale trial are available.,"A local promoter lowers the distance to basic care and products, and sales help pay for the work."
salt-substitution,Salt substitute,Community salt substitution,Other health,Cancer & chronic disease,Food supply change,Whole community,Supply chain,,Research ongoing,February 2021,True,Table salt replaced for a whole community by a substitute in which potassium chloride replaces part of the sodium.,GiveWell's best guess is that it is below its funding bar; it will revisit when a stroke study is published.,"Less sodium and more potassium lower blood pressure, and people do not have to change what they cook."
eave-tubes,Eave tubes,Eave tubes to control malaria,Infectious disease,Malaria,Vector control,Whole household,Home installation,,Waiting for new evidence,March 2021,False,Tubes with insecticide-treated netting installed in the gap between roof and walls to kill mosquitoes as they pass.,Deprioritized for lack of evidence; GiveWell expects new evidence.,
educate,Youth mentoring (Educate!),Educate! Experience program,Learning,Education,Mentoring & skills training,Secondary students,School,,Waiting for new evidence,October 2020,True,"Mentoring for students in their last two years of secondary school, with a focus on leadership, work readiness, and entrepreneurship.",Deprioritized for lack of evidence; GiveWell expects new evidence.,Skills that school often does not teach may help young people find work or start a business.
e-partogram,Electronic partogram,Electronic partogram,Maternal & child,Maternal health,Health system tools,Women giving birth,Health facility,,Waiting for new evidence,November 2020,False,Help for health facilities to move from paper to electronic partograms to track and manage labor.,Deprioritized for lack of evidence; GiveWell expects new evidence.,
hpv,HPV vaccine,HPV vaccination to prevent cervical cancer,Other health,Cancer & chronic disease,Vaccination,Adolescent girls,School,,Research ongoing,October 2020,True,HPV vaccination for girls aged 9 to 14 to prevent cervical cancer.,"GiveWell believed in 2020 that there were probably no large funding gaps, because vaccine supply was the constraint.",Vaccination before exposure prevents the infection that causes most cervical cancer.
antenatal-steroids,Antenatal steroids,Antenatal corticosteroids for pregnant women at risk of preterm birth,Maternal & child,Newborn health,Medicine,Pregnant women,Health facility,,Waiting for new evidence,May 2022,False,Corticosteroids for women at 24 to 34 weeks of pregnancy who are at risk of preterm birth.,Deprioritized because trial results differ and harm is possible; GiveWell awaits an ongoing trial.,
art,HIV treatment (ART),Antiretroviral therapy to treat HIV/AIDS,Infectious disease,HIV & STIs,Medicine,People living with HIV,Health facility,,No further work planned,March 2021,True,Ongoing antiretroviral drugs for people living with HIV to reduce illness and extend life.,GiveWell's best guess is that it is below its cost-effectiveness bar.,"The drugs suppress the virus, which keeps the immune system working."
artemisia-tea,Artemisia tea,Artemisia tea,Infectious disease,Malaria,Medicine,Sick people,Home,,No further work planned,November 2020,False,Malaria treatment with a tea made from Artemisia plants.,Deprioritized after a shallow look at the evidence.,
aspirin,Preventive aspirin,Aspirin for cardiovascular disease prevention,Other health,Cancer & chronic disease,Preventive drugs,Adults at cardiovascular risk,Health facility,,No further work planned,April 2021,False,"Aspirin for people at risk of cardiovascular disease, to reduce heart attacks and strokes.",Deprioritized on a shallow cost-effectiveness estimate and few visible funding opportunities.,
bracelets,Vaccine bracelets,Bracelets for immunization,Infectious disease,Vaccine-preventable disease,Reminders & nudges,Infants,Routine immunization visits,,No further work planned,June 2021,True,"Colored bracelets for infants that show immunization status, as a social signal.",Deprioritized on cost-effectiveness and on thin evidence outside the original setting.,A visible bracelet reminds parents of the next dose and shows neighbors who is up to date.
bt-eggplant,Bt eggplant,Bt eggplant adoption,Livelihoods,Agriculture,Productive inputs,Smallholder farmers,Supply chain,,No further work planned,December 2022,True,Support for farmers to adopt eggplant that is genetically modified to be toxic to a major pest.,Deprioritized on a shallow cost-effectiveness estimate and limited room for funding.,A crop that resists its main pest needs less spraying and loses less of the harvest.
cataract,Cataract surgery,Cataract surgery,Other health,Vision,Surgery,Patients needing surgery,Health facility,,No further work planned,March 2021,True,Surgery that removes a clouded eye lens and replaces it with an artificial lens.,GiveWell could not find strong evidence that charity activity increases the number of surgeries.,A short operation can restore sight that would otherwise be lost for life.
cookstoves,Clean cookstoves,Clean cookstoves,Other health,Air pollution,Cleaner household technology,Whole household,Local market / sales,,No further work planned,July 2019,True,Stoves designed to reduce indoor smoke compared with open fires that burn wood or dung.,Deprioritized after GiveWell assessed the evidence of effectiveness.,Less smoke in the home means less exposure to air pollution for the people who cook and the children near them.
polypill,Polypill,Community distribution of polypill for cardiovascular disease prevention,Other health,Cancer & chronic disease,Preventive drugs,Adults at cardiovascular risk,Community health workers,,No further work planned,April 2021,False,"One pill with fixed doses of several drugs to reduce cardiovascular risk, distributed in the community.",Deprioritized on a shallow cost-effectiveness estimate.,
psbi,Home antibiotics for newborns,Community-based antibiotic delivery for possible serious bacterial infection (PSBI) management,Maternal & child,Newborn health,Medicine,Newborns,Home,,No further work planned,October 2021,False,Home-based antibiotics for newborns with suspected serious infection when a hospital referral is not possible.,Deprioritized because evidence on community delivery alone is lacking.,
migration-subsidies,Migration subsidies,Conditional subsidies for seasonal labor migration in northern Bangladesh,Livelihoods,Income & assets,Cash,Workers,Cash payment,Bangladesh (north),No further work planned,November 2018,True,Cash or interest-free loans that help rural workers migrate for work during the lean season.,"GiveWell supported this from 2014 to 2019, then deprioritized it after newer evidence.",In the lean season there is little local work. A small subsidy covers the risk and the fare of a trip to find jobs elsewhere.
condoms,Condom distribution,Condom promotion and distribution to prevent HIV/AIDS,Infectious disease,HIV & STIs,Commodity supply,Adults,Supply chain,,No further work planned,April 2019,True,"Education and advertising for condom use, and free or subsidized condoms.",Deprioritized after GiveWell assessed the evidence of effectiveness.,"Condoms block transmission, so easier access can reduce new infections."
cryptococcal,Cryptococcal screening,Cryptococcal antigen testing for people living with HIV,Infectious disease,Fungal infections,Screen & treat,People living with HIV,Health facility,,No further work planned,July 2021,False,"Diagnosis and treatment of a deadly fungal infection, mainly among people living with HIV.",Deprioritized because cost-effective room for funding seems lacking.,
deworming-pregnant,Deworming in pregnancy,Deworming pregnant people,Infectious disease,Neglected tropical diseases,Preventive drugs,Pregnant women,Health facility,,No further work planned,March 2022,False,A single preventive deworming dose for pregnant people to reduce infections that contribute to anemia.,Deprioritized because GiveWell expects few funding opportunities.,
aspergillosis,Aspergillosis care,Diagnosis and treatment for chronic pulmonary aspergillosis,Infectious disease,Fungal infections,Screen & treat,Patients with lung disease,Health facility,,No further work planned,July 2021,False,"Diagnosis and treatment of a deadly fungal infection, mainly among people with structural lung disease.",Deprioritized on limited evidence in low-resource settings and hard implementation.,
histoplasmosis,Histoplasmosis care,Diagnosis and treatment for disseminated histoplasmosis,Infectious disease,Fungal infections,Screen & treat,People living with HIV,Health facility,,No further work planned,September 2020,False,"Diagnosis and treatment of a deadly fungal infection, mainly among people living with HIV.",Deprioritized on shallow cost-effectiveness and funding-room estimates.,
pcp,Pneumocystis care,Diagnosis and treatment for pneumocystis pneumonia,Infectious disease,Fungal infections,Screen & treat,People living with HIV,Health facility,,No further work planned,September 2020,False,"Diagnosis and treatment of a deadly fungal infection, mainly among people living with HIV.",Deprioritized on a shallow look at evidence and cost-effectiveness.,
eyeglasses-students,Eyeglasses for students,Distribution of eyeglasses to improve academic performance,Other health,Vision,Assistive devices,School-age children,School,,No further work planned,April 2019,True,"Free or subsidized glasses for students with poor vision, to improve school performance.",Deprioritized on the evidence; GiveWell rates the evidence for glasses for workers more highly.,A child who cannot see the board cannot learn from it.
ecd-stimulation,Early stimulation,Early childhood psychosocial stimulation,Learning,Early childhood development,Education & counseling,Caregivers of young children,Home visits,,No further work planned,January 2020,True,"Training for parents to support development through play and other activities, to build cognitive and language skills.",Deprioritized on evidence and cost-effectiveness.,"The brain develops fastest in the first years, so small changes in daily play can have large effects."
education,Education programs,Education in developing countries,Learning,Education,Teaching & school inputs,School-age children,School,,No further work planned,April 2018,False,A wide range of programs that aim to improve education.,Deprioritized as a category on the evidence; GiveWell may look at single education programs later.,
eggs,Eggs for infants,Eggs for complementary feeding,Nutrition,Infant & child nutrition,Food provision,Infants,Direct distribution,,No further work planned,May 2021,True,Chicken eggs given to families to feed to infants alongside breast milk.,Deprioritized on a shallow cost-effectiveness estimate.,Eggs are a compact source of protein and micronutrients at the age when growth falters.
hepatitis-c,Hepatitis C drugs,Generic hepatitis C medication,Infectious disease,Other infections,Medicine,People with a diagnosed infection,Health facility,,No further work planned,January 2022,False,Generic direct-acting antivirals to treat hepatitis C.,Deprioritized on a shallow cost-effectiveness estimate.,
meningitis-a,Meningitis A vaccine,Immunization to prevent meningitis A,Infectious disease,Vaccine-preventable disease,Vaccination,Whole community,Mass campaign,,No further work planned,January 2016,True,"Immunization campaigns against meningitis A to prevent deaths, brain damage, and hearing loss.",Deprioritized on room for more funding.,Campaigns vaccinate many people at once and can stop a disease that spreads in epidemics.
iccm,Community case management,Integrated community case management,Maternal & child,Child survival,Screen & treat,Sick children,Community health workers,,No further work planned,November 2016,True,"Community health workers trained and supplied to treat simple pneumonia, malaria, and diarrhea.",Deprioritized after GiveWell assessed the evidence of effectiveness.,"Treatment close to home comes sooner, and these illnesses kill quickly when treatment is late."
iptp,Malaria IPTp,Intermittent preventive treatment of malaria during pregnancy,Infectious disease,Malaria,Preventive drugs,Pregnant women,Health facility,,No further work planned,May 2023,False,Antimalarial drugs for at-risk pregnant women in the second and third trimesters.,GiveWell found low cost-effectiveness and weak evidence.,
handwashing,Handwashing promotion,Interventions to promote handwashing,Infectious disease,Diarrheal disease & water,Hygiene & safe practices,Whole household,NGO field staff,,No further work planned,March 2021,True,Education and/or materials such as soap to promote handwashing.,Deprioritized on evidence and cost-effectiveness.,Soap removes pathogens from hands before they reach food or mouths.
larval-management,Larval source control,Larval source management for malaria control,Infectious disease,Malaria,Vector control,Whole community,Environmental works,,Waiting for new evidence,January 2025,False,"Methods that kill mosquitoes at the larval stage, such as habitat changes, larvicide on water, and biological control.",Deprioritized for lack of evidence; GiveWell expects new evidence.,
lymphoedema,Podoconiosis care,Lymphoedema management to prevent acute adenolymphangitis in podoconiosis,Infectious disease,Neglected tropical diseases,Care practice,Patients with a chronic condition,Community groups,,No further work planned,September 2021,False,"Education and supplies such as bandages and shoes for people with podoconiosis, to reduce acute attacks.",Deprioritized on a shallow cost-effectiveness estimate.,
magnesium-sulfate,Magnesium sulfate,Magnesium sulfate for preeclampsia,Maternal & child,Maternal health,Medicine,Pregnant women,Health facility,,No further work planned,January 2025,False,Wider availability of magnesium sulfate to prevent eclampsia in people with severe preeclampsia.,GiveWell thinks broad programs are likely below its cost-effectiveness range.,
malaria-rdt,Malaria rapid tests,Malaria rapid diagnostic tests (RDTs),Infectious disease,Malaria,Screen & treat,Sick people,Health facility,,No further work planned,December 2021,False,Rapid tests to reduce overprescription of antimalarials and to find other causes of fever.,Deprioritized for lack of evidence that the tests reduce deaths.,
water-pumps,Irrigation pumps,Manual water pumps for farming households,Livelihoods,Agriculture,Productive inputs,Smallholder farmers,Direct distribution,,No further work planned,January 2023,False,Manual pumps for smallholder farmers to irrigate crops when rainfall is low.,Deprioritized on a shallow cost-effectiveness estimate.,
dmi,Health radio and TV,Mass media to promote behavior change as run by Development Media International,Maternal & child,Child survival,Mass media,Whole community,Radio & TV,,No further work planned,July 2021,True,Radio and television programs that encourage better health practices.,"GiveWell sees limited evidence, based on a trial of the child-mortality program.",One broadcast reaches a whole region at a very low cost per listener.
tb-mass-screening,TB mass screening,Mass screen-and-treatment programs for tuberculosis,Infectious disease,Tuberculosis,Screen & treat,Whole community,Mass campaign,,No further work planned,March 2024,True,"TB testing for everyone above an age threshold, and treatment for people with the disease.","GiveWell's best guess is below its bar, but it is uncertain about costs, feasibility, and differences by place.",Many people with TB do not know they have it. Finding them early stops them infecting others.
microfinance,Microfinance,Microfinance,Livelihoods,Finance,Credit & financial services,Poor households,Microfinance institution,,No further work planned,May 2012,True,"Loans and other financial services, such as savings or insurance, for poor people.",Deprioritized after GiveWell assessed the evidence of effectiveness.,The theory: small businesses have high returns to capital but cannot borrow from banks.
micronutrient-powders,Micronutrient powders,Micronutrient powders,Nutrition,Infant & child nutrition,Supplementation,Children under 5,Direct distribution,,No further work planned,January 2022,False,Packets of vitamins and minerals that families add to children's food.,Deprioritized on a shallow cost-effectiveness estimate.,
neonatal-vitamin-a,Newborn vitamin A,Neonatal vitamin A supplementation (NVAS),Nutrition,Micronutrients,Supplementation,Newborns,Health facility,,No further work planned,March 2023,False,A large dose of vitamin A for infants shortly after birth.,Deprioritized on evidence and limited room for funding.,
anti-shock-garment,Anti-shock garment,Non-pneumatic anti-shock garments,Maternal & child,Maternal health,Assistive devices,Women giving birth,Health facility,,No further work planned,May 2021,False,A compression garment that stabilizes women with postpartum hemorrhage until they get treatment.,Deprioritized on room for more funding.,
ivermectin-scabies,Scabies mass treatment,Oral ivermectin mass drug administration for scabies control,Infectious disease,Neglected tropical diseases,Mass drug administration,Whole community,Mass campaign,,No further work planned,September 2021,True,Oral ivermectin for almost everyone in a scabies-affected community.,Deprioritized on cost-effectiveness and room for funding.,"Scabies spreads by close contact, so everyone is treated at once to stop reinfection."
prep,HIV PrEP,Oral Pre-exposure Prophylaxis (PrEP) for HIV,Infectious disease,HIV & STIs,Preventive drugs,Adults,Health facility,,No further work planned,March 2021,True,Antiretroviral drugs for HIV-negative people to prevent infection.,Deprioritized on cost-effectiveness.,The drugs block the virus before it can take hold.
polio,Polio eradication,Polio eradication activities,Infectious disease,Vaccine-preventable disease,Vaccination,Children under 5,Door-to-door,,No further work planned,March 2023,True,Support for polio vaccination in endemic countries and related work elsewhere.,Deprioritized on a shallow cost-effectiveness estimate.,"If transmission stops everywhere, the disease is gone and no future vaccination is necessary."
pdmc,Post-discharge malaria drugs,Post-discharge malaria chemoprevention (PDMC) for children with severe anemia,Infectious disease,Malaria,Preventive drugs,Sick children,Health facility,,No further work planned,September 2023,False,Antimalarials for children after hospital treatment for severe anemia.,Deprioritized because GiveWell sees limited funding opportunities.,
pxd,Farm advice by phone,Precision Development (PxD),Livelihoods,Agriculture,Advice & information,Smallholder farmers,Mobile phone,,No further work planned,November 2020,True,Locally tailored agricultural advice sent to farmers' mobile phones.,"GiveWell's best guess is below its bar with limited evidence, though more work could change that.",A text or voice message can deliver timely advice to many farmers at almost no cost per farmer.
probiotics-gdm,Probiotics in pregnancy,Probiotics for gestational diabetes,Maternal & child,Maternal health,Supplementation,Pregnant women,Health facility,,No further work planned,October 2021,False,Probiotics for pregnant women with gestational diabetes.,Deprioritized for limited evidence.,
midwives,More midwives,Programs to increase the supply of midwives,Maternal & child,Maternal health,Workforce expansion,Women giving birth,Health facility,,No further work planned,February 2023,False,Support to add midwives where maternal and newborn care workers are too few.,Deprioritized on low estimated cost-effectiveness and a lack of direct evidence.,
csection-antibiotics,C-section antibiotics,Prophylactic antibiotics to reduce infections from caesarean sections,Maternal & child,Maternal health,Preventive drugs,Women giving birth,Health facility,,No further work planned,June 2021,False,Preventive antibiotics for women who deliver by caesarean section.,Deprioritized because GiveWell expects few funding opportunities.,
leishmaniasis,Leishmaniasis care,Rapid diagnostic tests and drug therapy for visceral leishmaniasis in East Africa,Infectious disease,Neglected tropical diseases,Screen & treat,Sick people,Health facility,East Africa,No further work planned,February 2021,False,Screening and treatment for a tropical disease common in East Africa.,Deprioritized on limited room for funding.,
birth-kits,Safe birth kits,Safe birth kits for pregnant people,Maternal & child,Maternal health,Hygiene & safe practices,Pregnant women,Direct distribution,,No further work planned,January 2024,False,Kits for pregnant people to reduce the risk of maternal or newborn death.,Deprioritized on low estimated cost-effectiveness.,
school-feeding,School meals,School feeding programs,Nutrition,Undernutrition,Food provision,School-age children,School,,No further work planned,January 2022,True,"Meals at school to reduce malnutrition, remove barriers to attendance, and help learning.",Deprioritized on a shallow cost-effectiveness estimate.,A free meal gives nutrition and also a reason for families to send children to school.
selenium,Selenium for newborns,Selenium supplementation for neonatal sepsis prevention,Maternal & child,Newborn health,Supplementation,Low-birthweight or preterm newborns,Health facility,,No further work planned,October 2021,False,Selenium supplements for very low birthweight infants to prevent sepsis.,Deprioritized for limited evidence.,
sq-lns,Lipid nutrient paste,Small-quantity lipid nutrient supplementation,Nutrition,Infant & child nutrition,Supplementation,Children under 5,Direct distribution,,No further work planned,June 2023,False,Lipid-based nutrient supplements for children to prevent malnutrition.,Deprioritized on low estimated cost-effectiveness.,
soft-skills,Soft-skills certificates,Soft skills certification,Livelihoods,Jobs & skills,Certification,Workers,Workplace,,No further work planned,May 2020,True,"Certificates for non-cognitive skills, such as trustworthiness, that workers can show to employers.",Deprioritized after GiveWell assessed the evidence of effectiveness.,Employers cannot see soft skills directly. A credible certificate lets good workers prove them.
strongminds,Group therapy (StrongMinds),StrongMinds,Other health,Mental health,Psychotherapy,Women with depression,Community groups,,No further work planned,March 2023,True,Group interpersonal psychotherapy for women with depression.,"GiveWell's best guess is below other programs it funds, with a wide range of uncertainty.",Groups let one trained facilitator treat many people and add peer support.
measles,Measles campaigns,Supplementary immunization activities to prevent measles,Infectious disease,Vaccine-preventable disease,Vaccination,Children under 5,Mass campaign,,No further work planned,August 2017,False,"Find gaps in measles coverage through surveys or surveillance, and run campaigns in at-risk areas.",Deprioritized for a lack of cost-effective room for funding.,
